stature,weightkg,SizeShirt
168.0,59.0,XL
159.0,63.0,L
161.0,58.0,L
168.0,74.0,XL
172.0,86.0,XXL
160.0,60.0,L
158.0,50.0,L
156.0,54.0,L
154.0,53.0,M
161.0,69.0,L
174.0,71.0,XXL
155.0,70.0,L
165.0,69.0,L
158.0,65.0,L
164.0,63.0,L
153.0,69.0,L
161.0,59.0,L
170.0,69.0,XL
168.0,79.0,XL
165.0,61.0,L
164.0,67.0,L
167.0,54.0,XL
149.0,64.0,L
171.0,88.0,XXL
153.0,63.0,L
166.0,76.0,XL
157.0,65.0,L
166.0,83.0,XXL
161.0,65.0,L
158.0,62.0,L
164.0,99.0,XXXL
164.0,74.0,L
167.0,64.0,XL
167.0,54.0,XL
165.0,81.0,XXL
152.0,56.0,M
171.0,96.0,XXXL
160.0,83.0,XXL
157.0,50.0,L
166.0,65.0,XL
156.0,70.0,L
154.0,66.0,L
156.0,59.0,L
162.0,72.0,L
167.0,75.0,XL
160.0,67.0,L
167.0,78.0,XL
166.0,51.0,XL
157.0,63.0,L
167.0,79.0,XL
158.0,56.0,L
157.0,68.0,L
161.0,59.0,L
159.0,60.0,L
170.0,69.0,XL
162.0,57.0,L
157.0,65.0,L
166.0,60.0,XL
159.0,77.0,XL
164.0,76.0,XL
152.0,66.0,L
176.0,78.0,XXL
150.0,51.0,M
170.0,66.0,XL
165.0,65.0,L
161.0,69.0,L
166.0,68.0,XL
156.0,60.0,L
157.0,64.0,L
148.0,54.0,M
163.0,53.0,L
160.0,78.0,XL
155.0,43.0,M
155.0,74.0,L
159.0,71.0,L
167.0,72.0,XL
166.0,61.0,XL
155.0,57.0,M
159.0,65.0,L
154.0,57.0,M
163.0,58.0,L
156.0,62.0,L
150.0,53.0,M
168.0,65.0,XL
160.0,70.0,L
182.0,93.0,XXXL
159.0,53.0,L
176.0,73.0,XXL
165.0,55.0,L
162.0,65.0,L
167.0,69.0,XL
178.0,96.0,XXXL
157.0,70.0,L
152.0,52.0,M
159.0,66.0,L
170.0,81.0,XXL
181.0,95.0,XXXL
168.0,65.0,XL
156.0,50.0,L
155.0,54.0,M
164.0,68.0,L
163.0,60.0,L
156.0,66.0,L
156.0,59.0,L
158.0,61.0,L
151.0,54.0,M
159.0,60.0,L
146.0,51.0,M
159.0,64.0,L
166.0,66.0,XL
171.0,79.0,XXL
163.0,59.0,L
162.0,73.0,L
162.0,82.0,XXL
171.0,75.0,XXL
160.0,59.0,L
174.0,86.0,XXL
165.0,68.0,L
167.0,76.0,XL
163.0,72.0,L
167.0,63.0,XL
164.0,55.0,L
169.0,76.0,XL
167.0,69.0,XL
163.0,63.0,L
167.0,60.0,XL
