stature,weightkg,SizeShirt
174.0,96.0,XL
175.0,101.0,XXL
172.0,85.0,L
177.0,90.0,L
175.0,99.0,XL
175.0,82.0,L
177.0,87.0,L
168.0,86.0,L
170.0,85.0,L
173.0,90.0,L
174.0,99.0,XL
173.0,91.0,L
171.0,78.0,M
163.0,69.0,M
170.0,80.0,M
177.0,86.0,L
179.0,108.0,XXL
183.0,94.0,L
185.0,99.0,XL
182.0,99.0,XL
175.0,101.0,XXL
168.0,73.0,M
170.0,90.0,L
182.0,97.0,XL
179.0,89.0,L
178.0,78.0,M
176.0,99.0,XL
174.0,87.0,L
180.0,94.0,L
173.0,90.0,L
178.0,71.0,M
166.0,73.0,M
178.0,107.0,XXL
177.0,81.0,L
179.0,94.0,L
172.0,84.0,L
183.0,79.0,L
169.0,84.0,L
177.0,74.0,M
169.0,73.0,M
177.0,86.0,L
173.0,78.0,M
180.0,101.0,XXL
165.0,71.0,M
176.0,79.0,M
178.0,94.0,L
187.0,85.0,XL
156.0,86.0,L
178.0,87.0,L
173.0,95.0,L
175.0,80.0,M
190.0,105.0,XXL
178.0,84.0,L
176.0,89.0,L
173.0,81.0,L
172.0,90.0,L
190.0,122.0,XXXL
178.0,92.0,L
182.0,105.0,XXL
164.0,91.0,L
187.0,96.0,XL
175.0,79.0,M
179.0,108.0,XXL
173.0,97.0,XL
167.0,84.0,L
180.0,107.0,XXL
161.0,75.0,M
189.0,112.0,XXL
178.0,93.0,L
185.0,104.0,XXL
177.0,91.0,L
184.0,110.0,XXL
172.0,95.0,L
194.0,106.0,XXL
172.0,78.0,M
182.0,90.0,L
176.0,90.0,L
171.0,80.0,M
178.0,87.0,L
170.0,89.0,L
181.0,93.0,L
186.0,88.0,XL
176.0,89.0,L
176.0,95.0,L
172.0,95.0,L
178.0,81.0,L
178.0,102.0,XXL
176.0,84.0,L
165.0,89.0,L
173.0,78.0,M
192.0,101.0,XXL
169.0,80.0,M
179.0,100.0,XL
180.0,87.0,L
184.0,92.0,L
174.0,80.0,M
190.0,117.0,XXL
167.0,88.0,L
166.0,74.0,M
181.0,95.0,L
186.0,88.0,XL
180.0,71.0,M
170.0,78.0,M
170.0,84.0,L
171.0,89.0,L
180.0,93.0,L
171.0,90.0,L
182.0,106.0,XXL
176.0,85.0,L
162.0,85.0,L
178.0,90.0,L
171.0,93.0,L
177.0,109.0,XXL
170.0,66.0,S
178.0,85.0,L
177.0,96.0,XL
174.0,75.0,M
179.0,81.0,L
172.0,88.0,L
183.0,104.0,XXL
186.0,90.0,XL
179.0,85.0,L
177.0,89.0,L
177.0,82.0,L
180.0,101.0,XXL
173.0,83.0,L
173.0,94.0,L
169.0,96.0,XL
182.0,103.0,XXL
176.0,78.0,M
177.0,87.0,L
180.0,92.0,L
178.0,84.0,L
185.0,87.0,XL
174.0,80.0,M
170.0,81.0,L
185.0,89.0,XL
176.0,88.0,L
176.0,89.0,L
180.0,101.0,XXL
177.0,89.0,L
176.0,79.0,M
185.0,91.0,XL
173.0,73.0,M
178.0,108.0,XXL
175.0,95.0,L
163.0,74.0,M
174.0,83.0,L
174.0,79.0,M
173.0,85.0,L
177.0,80.0,M
180.0,95.0,L
172.0,82.0,L
171.0,77.0,M
173.0,83.0,L
167.0,57.0,S
179.0,105.0,XXL
179.0,89.0,L
185.0,93.0,XL
171.0,88.0,L
177.0,79.0,M
181.0,100.0,XL
185.0,82.0,XL
160.0,77.0,M
166.0,84.0,L
186.0,95.0,XL
181.0,77.0,L
172.0,71.0,M
171.0,106.0,XXL
176.0,94.0,L
178.0,81.0,L
178.0,80.0,M
173.0,82.0,L
152.0,66.0,S
175.0,72.0,M
179.0,76.0,M
170.0,76.0,M
179.0,104.0,XXL
177.0,72.0,M
170.0,79.0,M
168.0,95.0,L
165.0,87.0,L
165.0,91.0,L
164.0,85.0,L
179.0,78.0,M
168.0,76.0,M
170.0,90.0,L
175.0,76.0,M
171.0,85.0,L
184.0,106.0,XXL
169.0,84.0,L
179.0,70.0,M
173.0,65.0,S
167.0,84.0,L
176.0,98.0,XL
175.0,85.0,L
176.0,104.0,XXL
173.0,89.0,L
187.0,103.0,XXL
174.0,89.0,L
177.0,66.0,S
171.0,89.0,L
170.0,105.0,XXL
176.0,84.0,L
166.0,74.0,M
166.0,59.0,S
177.0,82.0,L
173.0,90.0,L
172.0,87.0,L
169.0,68.0,S
172.0,76.0,M
180.0,108.0,XXL
167.0,77.0,M
177.0,82.0,L
172.0,85.0,L
167.0,69.0,M
169.0,80.0,M
176.0,73.0,M
176.0,77.0,M
170.0,100.0,XL
179.0,86.0,L
168.0,59.0,S
174.0,97.0,XL
196.0,89.0,XXL
173.0,101.0,XXL
186.0,111.0,XXL
185.0,71.0,XL
184.0,105.0,XXL
183.0,82.0,L
173.0,85.0,L
195.0,104.0,XXL
163.0,78.0,M
179.0,98.0,XL
169.0,76.0,M
162.0,76.0,M
162.0,97.0,XL
168.0,86.0,L
174.0,80.0,M
171.0,86.0,L
175.0,79.0,M
178.0,105.0,XXL
183.0,84.0,L
171.0,63.0,S
184.0,134.0,XXXL
178.0,97.0,XL
191.0,80.0,XXL
183.0,83.0,L
190.0,126.0,XXXL
181.0,115.0,XXL
184.0,105.0,XXL
172.0,67.0,S
178.0,95.0,L
171.0,70.0,M
178.0,65.0,M
183.0,89.0,L
174.0,75.0,M
182.0,90.0,L
176.0,72.0,M
182.0,104.0,XXL
179.0,116.0,XXL
183.0,86.0,L
168.0,60.0,S
178.0,112.0,XXL
176.0,76.0,M
181.0,127.0,XXXL
168.0,52.0,S
175.0,91.0,L
177.0,83.0,L
180.0,105.0,XXL
178.0,89.0,L
184.0,84.0,L
179.0,82.0,L
169.0,65.0,S
173.0,78.0,M
183.0,78.0,L
183.0,95.0,L
184.0,97.0,XL
187.0,105.0,XXL
166.0,64.0,S
189.0,102.0,XXL
173.0,77.0,M
185.0,89.0,XL
182.0,70.0,L
177.0,95.0,L
172.0,102.0,XXL
174.0,71.0,M
192.0,113.0,XXL
185.0,92.0,XL
183.0,97.0,XL
164.0,75.0,M
173.0,82.0,L
168.0,93.0,L
174.0,111.0,XXL
170.0,80.0,M
168.0,81.0,L
180.0,96.0,XL
186.0,100.0,XL
175.0,99.0,XL
181.0,100.0,XL
170.0,77.0,M
180.0,78.0,M
183.0,95.0,L
177.0,66.0,S
187.0,108.0,XXL
184.0,110.0,XXL
173.0,93.0,L
180.0,84.0,L
179.0,96.0,XL
170.0,64.0,S
186.0,102.0,XXL
172.0,88.0,L
168.0,67.0,S
170.0,82.0,L
176.0,73.0,M
172.0,88.0,L
165.0,77.0,M
173.0,69.0,M
193.0,83.0,XXL
186.0,116.0,XXL
183.0,98.0,XL
192.0,132.0,XXXL
183.0,104.0,XXL
175.0,82.0,L
172.0,65.0,S
188.0,96.0,XL
181.0,97.0,XL
170.0,54.0,S
166.0,60.0,S
173.0,73.0,M
183.0,104.0,XXL
160.0,39.0,XS
177.0,89.0,L
185.0,125.0,XXXL
183.0,81.0,L
175.0,73.0,M
168.0,87.0,L
179.0,75.0,M
179.0,81.0,L
177.0,85.0,L
176.0,65.0,S
173.0,99.0,XL
181.0,86.0,L
172.0,59.0,S
181.0,101.0,XXL
177.0,79.0,M
175.0,70.0,M
180.0,78.0,M
173.0,72.0,M
183.0,86.0,L
188.0,99.0,XL
178.0,82.0,L
179.0,84.0,L
172.0,82.0,L
169.0,70.0,M
177.0,67.0,S
176.0,70.0,M
171.0,90.0,L
167.0,60.0,S
172.0,91.0,L
174.0,91.0,L
160.0,83.0,L
179.0,82.0,L
180.0,115.0,XXL
173.0,57.0,S
171.0,93.0,L
177.0,86.0,L
165.0,55.0,XS
185.0,98.0,XL
170.0,97.0,XL
178.0,93.0,L
165.0,85.0,L
185.0,85.0,XL
177.0,63.0,S
175.0,88.0,L
173.0,59.0,S
171.0,95.0,L
170.0,69.0,M
173.0,74.0,M
172.0,79.0,M
178.0,109.0,XXL
171.0,87.0,L
172.0,65.0,S
173.0,98.0,XL
173.0,63.0,S
181.0,129.0,XXXL
167.0,74.0,M
174.0,80.0,M
173.0,77.0,M
177.0,98.0,XL
175.0,79.0,M
188.0,106.0,XXL
170.0,79.0,M
192.0,100.0,XXL
182.0,84.0,L
182.0,74.0,L
167.0,59.0,S
176.0,82.0,L
173.0,64.0,S
181.0,87.0,L
175.0,79.0,M
165.0,81.0,L
177.0,109.0,XXL
171.0,68.0,S
176.0,82.0,L
183.0,88.0,L
180.0,89.0,L
170.0,112.0,XXL
179.0,94.0,L
173.0,76.0,M
177.0,105.0,XXL
165.0,55.0,XS
168.0,91.0,L
168.0,85.0,L
171.0,90.0,L
169.0,95.0,L
175.0,87.0,L
184.0,104.0,XXL
182.0,85.0,L
174.0,78.0,M
184.0,74.0,L
176.0,103.0,XXL
176.0,82.0,L
181.0,85.0,L
167.0,74.0,M
172.0,87.0,L
172.0,73.0,M
176.0,78.0,M
176.0,90.0,L
169.0,64.0,S
168.0,82.0,L
168.0,69.0,M
168.0,76.0,M
176.0,88.0,L
180.0,86.0,L
188.0,80.0,XL
168.0,92.0,L
179.0,101.0,XXL
184.0,110.0,XXL
177.0,77.0,M
173.0,99.0,XL
175.0,63.0,S
182.0,105.0,XXL
183.0,109.0,XXL
174.0,73.0,M
